warehouse_id,po_id,product_id,po_price_total,po_price_per_unit,unit,manufacturing_date,po_date,arrival_date,expire_date,qty,Unnamed: 11,Rows: 120
WH02,PO0017,PRD006,20363.1,65.9,unit,2024-05-23,2024-06-09,2024-06-22,2025-06-22,309,,
WH02,PO0018,PRD014,11831.49,35.53,unit,2024-04-23,2024-06-16,2024-06-25,2025-06-25,333,,
WH02,PO0019,PRD006,26761.8,73.32,unit,2024-05-17,2024-07-13,2024-07-26,2025-01-22,365,,
WH03,PO0020,PRD013,13643.3,86.9,unit,2024-09-08,2024-10-07,2024-10-10,2025-10-10,157,,
WH02,PO0021,PRD023,20571.6,52.08,unit,2024-05-06,2024-06-13,2024-06-23,2026-06-23,395,,
WH03,PO0022,PRD019,37325.25,119.25,unit,2024-03-12,2024-03-27,2024-04-09,2025-04-09,313,,
WH01,PO0023,PRD015,34928.1,88.65,unit,2024-04-23,2024-06-20,2024-06-24,2024-12-21,394,,
WH01,PO0024,PRD021,9859.45,33.65,unit,2024-03-04,2024-03-16,2024-03-19,2024-09-15,293,,
WH02,PO0025,PRD013,40215.48,96.44,unit,2024-07-02,2024-08-21,2024-08-30,2025-02-26,417,,
WH01,PO0026,PRD011,19156.76,44.14,unit,2024-07-04,2024-07-23,2024-07-29,2024-10-27,434,,
WH01,PO0027,PRD004,10773.0,143.64,unit,2024-07-15,2024-08-05,2024-08-11,2026-08-11,75,,
WH03,PO0028,PRD005,11165.96,25.61,unit,2024-07-13,2024-08-21,2024-08-26,2025-08-26,436,,
WH02,PO0029,PRD009,12019.25,91.75,unit,2024-08-01,2024-09-15,2024-09-24,2026-09-24,131,,
WH03,PO0030,PRD014,21144.0,44.05,unit,2024-06-21,2024-08-18,2024-08-25,2025-02-21,480,,
WH02,PO0031,PRD013,20432.5,74.3,unit,2024-08-11,2024-09-05,2024-09-18,2025-09-18,275,,
WH01,PO0032,PRD016,34797.24,106.74,unit,2024-03-30,2024-04-30,2024-05-07,2025-05-07,326,,
WH02,PO0033,PRD027,35687.13,86.83,unit,2024-03-05,2024-04-28,2024-05-07,2024-11-03,411,,
WH02,PO0034,PRD023,12709.62,48.51,unit,2024-06-13,2024-07-27,2024-08-04,2026-08-04,262,,
WH03,PO0035,PRD007,7729.92,15.84,unit,2024-05-25,2024-07-18,2024-07-30,2024-10-28,488,,
WH02,PO0036,PRD027,21813.98,107.99,unit,2024-07-03,2024-07-13,2024-07-23,2025-07-23,202,,
WH02,PO0037,PRD022,39808.86,133.14,unit,2024-08-06,2024-10-02,2024-10-16,2025-04-14,299,,
WH02,PO0038,PRD017,4339.44,11.07,unit,2024-08-02,2024-09-05,2024-09-08,2025-09-08,392,,
WH03,PO0039,PRD023,15303.47,60.97,unit,2024-03-07,2024-03-25,2024-04-04,2024-07-03,251,,
WH01,PO0040,PRD029,15905.54,133.66,unit,2023-11-24,2024-01-14,2024-01-18,2026-01-17,119,,
WH02,PO0041,PRD007,2133.0,13.5,unit,2023-12-23,2024-01-26,2024-02-02,2025-02-01,158,,
WH02,PO0042,PRD013,18148.81,101.39,unit,2024-05-16,2024-07-13,2024-07-20,2026-07-20,179,,
WH01,PO0043,PRD030,17955.89,78.41,unit,2023-11-27,2024-01-10,2024-01-24,2024-04-23,229,,
WH01,PO0044,PRD004,54352.13,113.47,unit,2023-12-27,2024-01-21,2024-01-24,2024-07-22,479,,
WH02,PO0045,PRD004,55959.28,165.56,unit,2024-03-23,2024-05-02,2024-05-07,2024-08-05,338,,
WH02,PO0046,PRD022,75765.76,169.12,unit,2024-04-21,2024-05-11,2024-05-19,2024-08-17,448,,
WH02,PO0047,PRD017,3804.64,11.06,unit,2024-02-14,2024-02-25,2024-03-08,2025-03-08,344,,
WH03,PO0048,PRD028,48601.04,137.68,unit,2024-06-30,2024-07-22,2024-08-05,2024-11-03,353,,
WH01,PO0049,PRD003,56638.3,116.78,unit,2024-03-11,2024-05-04,2024-05-08,2025-05-08,485,,
WH03,PO0050,PRD009,30756.76,79.27,unit,2024-09-14,2024-10-16,2024-10-19,2026-10-19,388,,
WH02,PO0051,PRD018,12930.32,124.33,unit,2024-05-18,2024-06-23,2024-06-26,2026-06-26,104,,
WH03,PO0052,PRD022,22958.6,163.99,unit,2024-08-04,2024-08-23,2024-09-06,2026-09-06,140,,
WH03,PO0053,PRD028,35893.44,124.63,unit,2024-04-04,2024-05-18,2024-05-30,2026-05-30,288,,
WH02,PO0054,PRD018,71221.5,149.94,unit,2024-09-30,2024-10-30,2024-11-06,2025-05-05,475,,
WH02,PO0055,PRD023,20940.81,61.41,unit,2024-06-21,2024-08-18,2024-08-24,2026-08-24,341,,
WH02,PO0056,PRD010,1889.03,13.21,unit,2024-05-11,2024-06-21,2024-06-24,2025-06-24,143,,
WH01,PO0057,PRD012,28152.86,84.29,unit,2024-04-15,2024-05-12,2024-05-20,2025-05-20,334,,
WH01,PO0058,PRD026,41040.0,136.8,unit,2023-12-19,2024-02-13,2024-02-19,2026-02-18,300,,
WH01,PO0059,PRD020,18497.7,66.3,unit,2024-07-07,2024-08-31,2024-09-13,2026-09-13,279,,
WH02,PO0060,PRD015,21057.32,102.22,unit,2024-04-25,2024-05-30,2024-06-05,2024-12-02,206,,
WH03,PO0061,PRD001,13491.51,50.53,unit,2024-07-18,2024-08-30,2024-09-10,2025-09-10,267,,
WH01,PO0062,PRD025,4090.88,21.76,unit,2024-04-25,2024-06-18,2024-06-26,2026-06-26,188,,
WH03,PO0063,PRD010,1616.16,14.56,unit,2024-02-09,2024-03-02,2024-03-16,2025-03-16,111,,
WH03,PO0064,PRD010,2763.77,14.47,unit,2024-03-12,2024-04-04,2024-04-10,2026-04-10,191,,
WH01,PO0065,PRD027,17559.36,87.36,unit,2024-10-16,2024-11-01,2024-11-08,2025-05-07,201,,
WH01,PO0066,PRD016,19940.5,104.95,unit,2024-04-09,2024-06-03,2024-06-06,2024-12-03,190,,
WH02,PO0067,PRD005,9554.16,25.41,unit,2024-08-17,2024-10-10,2024-10-17,2025-04-15,376,,
WH02,PO0068,PRD028,36783.6,126.84,unit,2024-01-07,2024-02-22,2024-02-25,2025-02-24,290,,
WH02,PO0069,PRD011,4703.4,43.55,unit,2024-03-09,2024-04-04,2024-04-07,2026-04-07,108,,
WH03,PO0070,PRD011,4212.59,33.17,unit,2024-07-24,2024-09-08,2024-09-12,2024-12-11,127,,
WH03,PO0071,PRD027,36320.7,108.42,unit,2024-05-10,2024-06-04,2024-06-08,2024-09-06,335,,
WH02,PO0072,PRD006,23240.0,83.0,unit,2024-10-08,2024-11-01,2024-11-13,2026-11-13,280,,
WH01,PO0073,PRD021,13806.68,38.14,unit,2024-09-29,2024-10-28,2024-11-06,2025-02-04,362,,
WH01,PO0074,PRD026,43234.84,111.43,unit,2024-03-24,2024-04-16,2024-04-29,2025-04-29,388,,
WH03,PO0075,PRD026,6576.45,128.95,unit,2024-03-15,2024-03-29,2024-04-09,2024-10-06,51,,
WH02,PO0076,PRD023,9043.44,53.83,unit,2024-10-03,2024-10-31,2024-11-10,2025-02-08,168,,
WH03,PO0077,PRD024,4745.25,25.65,unit,2024-06-28,2024-08-20,2024-08-24,2025-02-20,185,,
WH03,PO0078,PRD025,2592.0,24.0,unit,2024-10-06,2024-10-28,2024-11-10,2026-11-10,108,,
WH02,PO0079,PRD012,7265.6,90.82,unit,2024-02-27,2024-03-17,2024-03-24,2024-06-22,80,,
WH03,PO0080,PRD003,25323.08,92.42,unit,2024-09-15,2024-10-31,2024-11-14,2025-11-14,274,,
WH02,PO0081,PRD030,27399.24,89.54,unit,2024-04-30,2024-06-04,2024-06-18,2025-06-18,306,,
WH02,PO0082,PRD006,28231.02,66.27,unit,2024-01-30,2024-02-11,2024-02-23,2026-02-22,426,,
WH02,PO0083,PRD023,27725.67,62.87,unit,2023-12-21,2024-01-14,2024-01-18,2024-04-17,441,,
WH02,PO0084,PRD009,24426.7,84.23,unit,2024-08-25,2024-10-22,2024-10-25,2025-04-23,290,,
WH01,PO0085,PRD011,16286.25,43.43,unit,2024-04-05,2024-05-22,2024-05-27,2026-05-27,375,,
WH01,PO0086,PRD010,3034.52,14.18,unit,2024-07-23,2024-08-28,2024-09-05,2025-09-05,214,,
WH02,PO0087,PRD017,2167.0,11.0,unit,2024-04-24,2024-06-17,2024-06-26,2026-06-26,197,,
WH01,PO0088,PRD022,28510.32,135.12,unit,2024-08-30,2024-10-08,2024-10-11,2025-01-09,211,,
WH03,PO0089,PRD023,12614.13,48.33,unit,2024-07-15,2024-07-25,2024-08-05,2026-08-05,261,,
WH01,PO0090,PRD009,30214.2,81.66,unit,2024-05-07,2024-07-04,2024-07-16,2026-07-16,370,,
WH03,PO0091,PRD008,7970.62,40.46,unit,2024-02-29,2024-04-14,2024-04-21,2024-10-18,197,,
WH03,PO0092,PRD015,34204.66,82.82,unit,2024-08-25,2024-09-05,2024-09-09,2025-03-08,413,,
WH01,PO0093,PRD022,29617.5,179.5,unit,2023-12-03,2024-01-08,2024-01-19,2024-04-18,165,,
WH02,PO0094,PRD028,45768.3,150.06,unit,2024-07-04,2024-08-24,2024-08-28,2025-02-24,305,,
WH02,PO0095,PRD027,46440.72,97.36,unit,2024-08-21,2024-09-17,2024-10-01,2026-10-01,477,,
WH03,PO0096,PRD016,27647.94,112.39,unit,2024-03-20,2024-05-04,2024-05-14,2024-11-10,246,,
WH02,PO0097,PRD009,17709.52,92.72,unit,2024-08-30,2024-09-17,2024-10-01,2024-12-30,191,,
WH03,PO0098,PRD006,15091.26,77.79,unit,2024-05-27,2024-06-23,2024-07-04,2024-10-02,194,,
WH02,PO0099,PRD007,3880.88,13.96,unit,2024-09-12,2024-10-23,2024-11-05,2025-05-04,278,,
WH01,PO0100,PRD023,19527.0,69.0,unit,2024-04-22,2024-06-19,2024-06-30,2026-06-30,283,,
WH01,PO0101,PRD030,47745.92,97.84,unit,2024-03-29,2024-05-02,2024-05-14,2024-11-10,488,,
WH03,PO0102,PRD024,6790.03,27.49,unit,2024-05-02,2024-06-11,2024-06-25,2026-06-25,247,,
WH02,PO0103,PRD029,42442.75,138.25,unit,2024-03-06,2024-03-18,2024-03-28,2024-09-24,307,,
WH02,PO0104,PRD015,5954.22,104.46,unit,2024-02-05,2024-02-21,2024-03-02,2026-03-02,57,,
WH02,PO0105,PRD009,19561.56,87.72,unit,2024-02-09,2024-03-20,2024-03-24,2025-03-24,223,,
WH02,PO0106,PRD008,9241.08,43.59,unit,2023-12-20,2024-02-11,2024-02-19,2026-02-18,212,,
WH02,PO0107,PRD014,7469.8,43.94,unit,2024-08-16,2024-10-04,2024-10-07,2025-01-05,170,,
WH03,PO0108,PRD029,12870.0,128.7,unit,2024-04-11,2024-04-26,2024-05-10,2026-05-10,100,,
WH01,PO0109,PRD026,7010.56,109.54,unit,2024-02-01,2024-02-21,2024-03-02,2025-03-02,64,,
WH02,PO0110,PRD018,14217.84,114.66,unit,2024-04-27,2024-05-30,2024-06-07,2026-06-07,124,,
WH03,PO0111,PRD028,15248.1,111.3,unit,2024-08-17,2024-10-16,2024-10-29,2025-04-27,137,,
WH01,PO0112,PRD018,45241.28,148.82,unit,2024-05-22,2024-07-14,2024-07-26,2025-01-22,304,,
WH01,PO0113,PRD011,9920.85,34.81,unit,2024-03-09,2024-04-28,2024-05-08,2025-05-08,285,,
WH02,PO0114,PRD021,2737.02,31.46,unit,2024-07-04,2024-08-26,2024-09-02,2025-03-01,87,,
WH02,PO0115,PRD010,4815.85,11.95,unit,2024-09-07,2024-10-27,2024-11-03,2026-11-03,403,,
WH02,PO0116,PRD015,15624.27,91.37,unit,2024-03-02,2024-04-11,2024-04-20,2024-07-19,171,,
WH03,PO0117,PRD026,9725.84,159.44,unit,2024-08-28,2024-10-21,2024-10-28,2025-10-28,61,,
WH02,PO0118,PRD011,15249.6,42.36,unit,2024-07-11,2024-07-21,2024-07-28,2024-10-26,360,,
WH02,PO0119,PRD019,36765.0,98.04,unit,2024-03-26,2024-04-27,2024-05-09,2024-11-05,375,,
WH01,PO0120,PRD010,3080.48,14.81,unit,2024-02-24,2024-03-11,2024-03-24,2024-06-22,208,,
