po_id,receive_date,transfer_date,store_id,warehouse_id,qty,Unnamed: 6,Rows: 300
PO0041,2024-02-03,2024-02-04,ST006,WH02,11,,
PO0045,2024-05-08,2024-05-09,ST003,WH02,111,,
PO0034,2024-08-05,2024-08-10,ST003,WH02,12,,
PO0047,2024-03-09,2024-03-12,ST001,WH02,42,,
PO0029,2024-09-27,2024-10-02,ST001,WH02,14,,
PO0008,2024-05-17,2024-05-21,ST003,WH02,75,,
PO0070,2024-09-12,2024-09-16,ST005,WH03,24,,
PO0019,2024-07-26,2024-07-31,ST003,WH02,127,,
PO0024,2024-03-19,2024-03-20,ST004,WH01,61,,
PO0097,2024-10-04,2024-10-05,ST004,WH02,66,,
PO0111,2024-10-29,2024-10-30,ST003,WH03,48,,
PO0090,2024-07-17,2024-07-18,ST002,WH01,80,,
PO0033,2024-05-09,2024-05-13,ST005,WH02,145,,
PO0059,2024-09-15,2024-09-19,ST005,WH01,87,,
PO0078,2024-11-13,2024-11-14,ST006,WH03,17,,
PO0047,2024-03-09,2024-03-13,ST004,WH02,68,,
PO0060,2024-06-08,2024-06-11,ST004,WH02,61,,
PO0066,2024-06-09,2024-06-10,ST003,WH01,64,,
PO0105,2024-03-26,2024-03-29,ST003,WH02,29,,
PO0079,2024-03-27,2024-03-28,ST001,WH02,12,,
PO0051,2024-06-26,2024-06-30,ST001,WH02,33,,
PO0016,2024-04-19,2024-04-24,ST001,WH03,153,,
PO0091,2024-04-23,2024-04-24,ST004,WH03,55,,
PO0057,2024-05-23,2024-05-24,ST003,WH01,86,,
PO0057,2024-05-22,2024-05-25,ST001,WH01,83,,
PO0115,2024-11-04,2024-11-06,ST006,WH02,133,,
PO0061,2024-09-11,2024-09-12,ST003,WH03,81,,
PO0046,2024-05-21,2024-05-22,ST003,WH02,156,,
PO0068,2024-02-26,2024-03-01,ST005,WH02,108,,
PO0093,2024-01-19,2024-01-24,ST006,WH01,63,,
PO0107,2024-10-09,2024-10-10,ST002,WH02,27,,
PO0042,2024-07-22,2024-07-25,ST003,WH02,10,,
PO0029,2024-09-25,2024-09-27,ST005,WH02,52,,
PO0053,2024-06-02,2024-06-03,ST002,WH03,104,,
PO0045,2024-05-07,2024-05-08,ST006,WH02,77,,
PO0088,2024-10-12,2024-10-16,ST004,WH01,68,,
PO0075,2024-04-11,2024-04-13,ST003,WH03,14,,
PO0056,2024-06-26,2024-07-01,ST005,WH02,15,,
PO0019,2024-07-26,2024-07-28,ST002,WH02,22,,
PO0104,2024-03-02,2024-03-05,ST004,WH02,20,,
PO0078,2024-11-13,2024-11-17,ST005,WH03,38,,
PO0089,2024-08-08,2024-08-11,ST002,WH03,75,,
PO0062,2024-06-26,2024-06-29,ST004,WH01,24,,
PO0086,2024-09-07,2024-09-12,ST004,WH01,77,,
PO0074,2024-05-01,2024-05-02,ST002,WH01,111,,
PO0074,2024-04-29,2024-04-30,ST002,WH01,87,,
PO0042,2024-07-21,2024-07-23,ST003,WH02,28,,
PO0042,2024-07-22,2024-07-23,ST001,WH02,41,,
PO0114,2024-09-05,2024-09-07,ST002,WH02,22,,
PO0047,2024-03-09,2024-03-14,ST005,WH02,100,,
PO0011,2024-05-30,2024-06-03,ST006,WH03,20,,
PO0080,2024-11-17,2024-11-18,ST004,WH03,19,,
PO0045,2024-05-09,2024-05-14,ST004,WH02,83,,
PO0075,2024-04-12,2024-04-16,ST003,WH03,11,,
PO0015,2024-05-16,2024-05-17,ST003,WH03,12,,
PO0029,2024-09-27,2024-09-30,ST001,WH02,37,,
PO0025,2024-08-30,2024-09-01,ST004,WH02,160,,
PO0005,2024-07-11,2024-07-16,ST001,WH03,111,,
PO0084,2024-10-27,2024-10-30,ST002,WH02,52,,
PO0011,2024-05-31,2024-06-01,ST005,WH03,39,,
PO0070,2024-09-13,2024-09-16,ST003,WH03,19,,
PO0001,2024-06-25,2024-06-26,ST002,WH03,26,,
PO0040,2024-01-19,2024-01-21,ST005,WH01,19,,
PO0053,2024-05-30,2024-06-01,ST006,WH03,73,,
PO0040,2024-01-21,2024-01-26,ST005,WH01,38,,
PO0003,2024-03-30,2024-04-02,ST002,WH02,122,,
PO0073,2024-11-06,2024-11-10,ST004,WH01,87,,
PO0064,2024-04-12,2024-04-17,ST001,WH03,55,,
PO0079,2024-03-24,2024-03-27,ST004,WH02,24,,
PO0112,2024-07-26,2024-07-27,ST003,WH01,116,,
PO0078,2024-11-12,2024-11-13,ST006,WH03,15,,
PO0079,2024-03-27,2024-03-31,ST005,WH02,27,,
PO0110,2024-06-07,2024-06-11,ST005,WH02,22,,
PO0078,2024-11-12,2024-11-17,ST004,WH03,42,,
PO0049,2024-05-09,2024-05-10,ST004,WH01,36,,
PO0077,2024-08-26,2024-08-27,ST005,WH03,32,,
PO0002,2024-08-17,2024-08-19,ST006,WH03,24,,
PO0012,2024-06-24,2024-06-29,ST005,WH02,49,,
PO0102,2024-06-26,2024-06-29,ST003,WH03,46,,
PO0083,2024-01-21,2024-01-25,ST003,WH02,163,,
PO0091,2024-04-21,2024-04-24,ST001,WH03,52,,
PO0041,2024-02-02,2024-02-07,ST006,WH02,34,,
PO0059,2024-09-15,2024-09-18,ST006,WH01,94,,
PO0095,2024-10-02,2024-10-05,ST001,WH02,159,,
PO0050,2024-10-20,2024-10-23,ST003,WH03,110,,
PO0015,2024-05-14,2024-05-19,ST006,WH03,11,,
PO0025,2024-09-01,2024-09-06,ST004,WH02,94,,
PO0041,2024-02-03,2024-02-08,ST001,WH02,51,,
PO0039,2024-04-07,2024-04-12,ST003,WH03,12,,
PO0116,2024-04-22,2024-04-25,ST002,WH02,23,,
PO0120,2024-03-26,2024-03-30,ST002,WH01,38,,
PO0055,2024-08-25,2024-08-27,ST001,WH02,47,,
PO0092,2024-09-09,2024-09-14,ST005,WH03,144,,
PO0023,2024-06-24,2024-06-27,ST005,WH01,43,,
PO0086,2024-09-08,2024-09-10,ST002,WH01,33,,
PO0074,2024-04-30,2024-05-04,ST001,WH01,115,,
PO0013,2024-01-26,2024-01-28,ST004,WH02,88,,
PO0030,2024-08-27,2024-08-31,ST002,WH03,146,,
PO0061,2024-09-11,2024-09-14,ST004,WH03,34,,
PO0022,2024-04-11,2024-04-16,ST004,WH03,69,,
PO0023,2024-06-26,2024-06-30,ST005,WH01,145,,
PO0027,2024-08-14,2024-08-16,ST002,WH01,29,,
PO0047,2024-03-09,2024-03-12,ST001,WH02,133,,
PO0019,2024-07-28,2024-08-02,ST001,WH02,142,,
PO0031,2024-09-18,2024-09-21,ST001,WH02,107,,
PO0047,2024-03-09,2024-03-12,ST004,WH02,47,,
PO0024,2024-03-22,2024-03-23,ST002,WH01,114,,
PO0102,2024-06-28,2024-07-01,ST001,WH03,63,,
PO0080,2024-11-14,2024-11-18,ST005,WH03,57,,
PO0115,2024-11-04,2024-11-08,ST001,WH02,105,,
PO0107,2024-10-08,2024-10-09,ST003,WH02,16,,
PO0001,2024-06-26,2024-06-28,ST002,WH03,12,,
PO0002,2024-08-19,2024-08-23,ST006,WH03,14,,
PO0082,2024-02-26,2024-03-01,ST005,WH02,11,,
PO0068,2024-02-25,2024-02-26,ST003,WH02,37,,
PO0059,2024-09-14,2024-09-19,ST006,WH01,87,,
PO0015,2024-05-16,2024-05-17,ST003,WH03,13,,
PO0041,2024-02-04,2024-02-05,ST001,WH02,25,,
PO0057,2024-05-23,2024-05-28,ST004,WH01,18,,
PO0060,2024-06-05,2024-06-09,ST005,WH02,78,,
PO0103,2024-03-28,2024-04-02,ST005,WH02,40,,
PO0104,2024-03-03,2024-03-06,ST004,WH02,10,,
PO0060,2024-06-07,2024-06-09,ST005,WH02,63,,
PO0060,2024-06-06,2024-06-07,ST005,WH02,56,,
PO0049,2024-05-08,2024-05-13,ST005,WH01,139,,
PO0071,2024-06-08,2024-06-12,ST004,WH03,15,,
PO0020,2024-10-13,2024-10-16,ST003,WH03,57,,
PO0065,2024-11-08,2024-11-11,ST001,WH01,54,,
PO0115,2024-11-04,2024-11-05,ST005,WH02,95,,
PO0050,2024-10-20,2024-10-21,ST003,WH03,149,,
PO0015,2024-05-15,2024-05-17,ST006,WH03,17,,
PO0069,2024-04-10,2024-04-12,ST002,WH02,14,,
PO0032,2024-05-10,2024-05-11,ST003,WH01,35,,
PO0043,2024-01-24,2024-01-26,ST001,WH01,50,,
PO0099,2024-11-07,2024-11-12,ST004,WH02,79,,
PO0113,2024-05-11,2024-05-14,ST001,WH01,106,,
PO0075,2024-04-10,2024-04-13,ST003,WH03,10,,
PO0034,2024-08-06,2024-08-09,ST001,WH02,57,,
PO0063,2024-03-19,2024-03-23,ST006,WH03,38,,
PO0019,2024-07-29,2024-08-01,ST002,WH02,137,,
PO0107,2024-10-10,2024-10-13,ST005,WH02,27,,
PO0120,2024-03-24,2024-03-28,ST001,WH01,65,,
PO0005,2024-07-09,2024-07-14,ST003,WH03,92,,
PO0061,2024-09-10,2024-09-11,ST003,WH03,94,,
PO0053,2024-06-01,2024-06-04,ST004,WH03,87,,
PO0039,2024-04-07,2024-04-09,ST006,WH03,66,,
PO0119,2024-05-11,2024-05-15,ST001,WH02,100,,
PO0021,2024-06-26,2024-06-29,ST006,WH02,24,,
PO0065,2024-11-08,2024-11-12,ST003,WH01,75,,
PO0012,2024-06-22,2024-06-23,ST002,WH02,48,,
PO0081,2024-06-21,2024-06-22,ST002,WH02,18,,
PO0015,2024-05-14,2024-05-17,ST003,WH03,16,,
PO0104,2024-03-02,2024-03-07,ST002,WH02,20,,
PO0051,2024-06-29,2024-07-02,ST003,WH02,38,,
PO0106,2024-02-19,2024-02-24,ST002,WH02,77,,
PO0044,2024-01-26,2024-01-30,ST003,WH01,176,,
PO0038,2024-09-10,2024-09-12,ST001,WH02,16,,
PO0048,2024-08-06,2024-08-10,ST005,WH03,109,,
PO0030,2024-08-25,2024-08-28,ST003,WH03,190,,
PO0112,2024-07-29,2024-07-31,ST005,WH01,46,,
PO0010,2024-04-30,2024-05-02,ST001,WH01,27,,
PO0074,2024-04-29,2024-05-03,ST002,WH01,123,,
PO0087,2024-06-26,2024-06-29,ST006,WH02,54,,
PO0034,2024-08-04,2024-08-09,ST005,WH02,47,,
PO0014,2024-08-25,2024-08-27,ST006,WH01,91,,
PO0083,2024-01-19,2024-01-22,ST005,WH02,67,,
PO0039,2024-04-04,2024-04-06,ST002,WH03,40,,
PO0036,2024-07-26,2024-07-27,ST003,WH02,80,,
PO0013,2024-01-26,2024-01-30,ST005,WH02,26,,
PO0117,2024-10-28,2024-10-29,ST003,WH03,16,,
PO0031,2024-09-21,2024-09-26,ST004,WH02,108,,
PO0059,2024-09-16,2024-09-21,ST001,WH01,26,,
PO0106,2024-02-21,2024-02-22,ST004,WH02,69,,
PO0100,2024-07-02,2024-07-04,ST005,WH01,91,,
PO0026,2024-07-30,2024-08-01,ST004,WH01,138,,
PO0110,2024-06-07,2024-06-08,ST005,WH02,19,,
PO0073,2024-11-08,2024-11-10,ST002,WH01,92,,
PO0108,2024-05-11,2024-05-14,ST005,WH03,38,,
PO0059,2024-09-15,2024-09-16,ST003,WH01,35,,
PO0003,2024-03-30,2024-04-01,ST006,WH02,87,,
PO0113,2024-05-08,2024-05-13,ST006,WH01,31,,
PO0102,2024-06-26,2024-06-28,ST006,WH03,89,,
PO0041,2024-02-04,2024-02-09,ST001,WH02,62,,
PO0069,2024-04-07,2024-04-08,ST001,WH02,26,,
PO0104,2024-03-03,2024-03-08,ST004,WH02,19,,
PO0004,2024-03-09,2024-03-13,ST006,WH01,149,,
PO0042,2024-07-22,2024-07-25,ST004,WH02,25,,
PO0046,2024-05-22,2024-05-25,ST004,WH02,28,,
PO0086,2024-09-05,2024-09-07,ST004,WH01,63,,
PO0065,2024-11-11,2024-11-15,ST002,WH01,53,,
PO0079,2024-03-25,2024-03-28,ST006,WH02,20,,
PO0016,2024-04-20,2024-04-24,ST002,WH03,104,,
PO0019,2024-07-26,2024-07-29,ST002,WH02,129,,
PO0064,2024-04-10,2024-04-13,ST004,WH03,41,,
PO0072,2024-11-14,2024-11-15,ST001,WH02,47,,
PO0048,2024-08-08,2024-08-13,ST004,WH03,73,,
PO0034,2024-08-05,2024-08-08,ST005,WH02,102,,
PO0112,2024-07-28,2024-07-30,ST002,WH01,73,,
PO0086,2024-09-08,2024-09-12,ST003,WH01,73,,
PO0118,2024-07-28,2024-07-29,ST004,WH02,139,,
PO0106,2024-02-22,2024-02-24,ST002,WH02,84,,
PO0059,2024-09-15,2024-09-16,ST001,WH01,46,,
PO0020,2024-10-13,2024-10-18,ST006,WH03,53,,
PO0021,2024-06-26,2024-06-29,ST005,WH02,12,,
PO0049,2024-05-08,2024-05-12,ST002,WH01,77,,
PO0040,2024-01-20,2024-01-24,ST003,WH01,12,,
PO0051,2024-06-29,2024-06-30,ST005,WH02,22,,
PO0093,2024-01-21,2024-01-26,ST003,WH01,14,,
PO0046,2024-05-22,2024-05-27,ST004,WH02,150,,
PO0106,2024-02-21,2024-02-26,ST006,WH02,25,,
PO0076,2024-11-11,2024-11-12,ST004,WH02,33,,
PO0015,2024-05-15,2024-05-20,ST003,WH03,12,,
PO0056,2024-06-25,2024-06-30,ST005,WH02,35,,
PO0098,2024-07-04,2024-07-05,ST001,WH03,27,,
PO0093,2024-01-21,2024-01-25,ST005,WH01,39,,
PO0059,2024-09-14,2024-09-19,ST005,WH01,27,,
PO0114,2024-09-04,2024-09-09,ST003,WH02,15,,
PO0087,2024-06-29,2024-07-04,ST006,WH02,48,,
PO0096,2024-05-16,2024-05-21,ST005,WH03,78,,
PO0052,2024-09-09,2024-09-14,ST003,WH03,40,,
PO0061,2024-09-10,2024-09-13,ST003,WH03,96,,
PO0100,2024-06-30,2024-07-04,ST005,WH01,49,,
PO0058,2024-02-19,2024-02-24,ST004,WH01,43,,
PO0106,2024-02-20,2024-02-21,ST005,WH02,71,,
PO0015,2024-05-14,2024-05-19,ST006,WH03,19,,
PO0089,2024-08-08,2024-08-10,ST006,WH03,41,,
PO0056,2024-06-24,2024-06-29,ST006,WH02,17,,
PO0020,2024-10-11,2024-10-12,ST004,WH03,30,,
PO0105,2024-03-27,2024-03-29,ST004,WH02,36,,
PO0080,2024-11-17,2024-11-22,ST005,WH03,70,,
PO0104,2024-03-02,2024-03-04,ST005,WH02,13,,
PO0046,2024-05-21,2024-05-25,ST005,WH02,106,,
PO0078,2024-11-12,2024-11-14,ST004,WH03,31,,
PO0032,2024-05-09,2024-05-12,ST005,WH01,71,,
PO0118,2024-07-29,2024-07-31,ST003,WH02,86,,
PO0008,2024-05-15,2024-05-18,ST003,WH02,36,,
PO0053,2024-06-02,2024-06-05,ST004,WH03,54,,
PO0028,2024-08-28,2024-08-31,ST001,WH03,156,,
PO0010,2024-04-30,2024-05-04,ST003,WH01,28,,
PO0051,2024-06-28,2024-06-29,ST003,WH02,15,,
PO0035,2024-08-01,2024-08-05,ST006,WH03,75,,
PO0086,2024-09-08,2024-09-10,ST002,WH01,78,,
PO0028,2024-08-28,2024-09-02,ST006,WH03,79,,
PO0097,2024-10-02,2024-10-03,ST005,WH02,40,,
PO0071,2024-06-09,2024-06-10,ST006,WH03,125,,
PO0017,2024-06-23,2024-06-25,ST001,WH02,22,,
PO0116,2024-04-23,2024-04-26,ST006,WH02,40,,
PO0014,2024-08-23,2024-08-25,ST001,WH01,80,,
PO0079,2024-03-25,2024-03-29,ST006,WH02,25,,
PO0090,2024-07-19,2024-07-21,ST003,WH01,92,,
PO0107,2024-10-09,2024-10-10,ST001,WH02,51,,
PO0119,2024-05-10,2024-05-15,ST006,WH02,19,,
PO0053,2024-05-31,2024-06-04,ST002,WH03,14,,
PO0037,2024-10-19,2024-10-23,ST002,WH02,105,,
PO0072,2024-11-15,2024-11-16,ST001,WH02,48,,
PO0061,2024-09-10,2024-09-13,ST003,WH03,68,,
PO0020,2024-10-13,2024-10-15,ST005,WH03,39,,
PO0090,2024-07-18,2024-07-20,ST001,WH01,94,,
PO0053,2024-05-31,2024-06-04,ST006,WH03,42,,
PO0016,2024-04-19,2024-04-20,ST006,WH03,96,,
PO0066,2024-06-08,2024-06-13,ST006,WH01,34,,
PO0115,2024-11-04,2024-11-09,ST006,WH02,113,,
PO0096,2024-05-17,2024-05-22,ST003,WH03,21,,
PO0109,2024-03-05,2024-03-06,ST002,WH01,14,,
PO0103,2024-03-31,2024-04-03,ST002,WH02,10,,
PO0105,2024-03-26,2024-03-30,ST002,WH02,67,,
PO0102,2024-06-27,2024-06-30,ST003,WH03,84,,
PO0044,2024-01-24,2024-01-27,ST006,WH01,102,,
PO0103,2024-03-29,2024-03-30,ST006,WH02,25,,
